"date","hits","keyword","geo","time","gprop","category"
2020-12-06,0,"Animal Rebellion","GB","today+5-y","web",0
2020-12-13,1,"Animal Rebellion","GB","today+5-y","web",0
2020-12-20,0,"Animal Rebellion","GB","today+5-y","web",0
2020-12-27,1,"Animal Rebellion","GB","today+5-y","web",0
2021-01-03,0,"Animal Rebellion","GB","today+5-y","web",0
2021-01-10,1,"Animal Rebellion","GB","today+5-y","web",0
2021-01-17,1,"Animal Rebellion","GB","today+5-y","web",0
2021-01-24,1,"Animal Rebellion","GB","today+5-y","web",0
2021-01-31,1,"Animal Rebellion","GB","today+5-y","web",0
2021-02-07,1,"Animal Rebellion","GB","today+5-y","web",0
2021-02-14,0,"Animal Rebellion","GB","today+5-y","web",0
2021-02-21,0,"Animal Rebellion","GB","today+5-y","web",0
2021-02-28,1,"Animal Rebellion","GB","today+5-y","web",0
2021-03-07,1,"Animal Rebellion","GB","today+5-y","web",0
2021-03-14,0,"Animal Rebellion","GB","today+5-y","web",0
2021-03-21,1,"Animal Rebellion","GB","today+5-y","web",0
2021-03-28,0,"Animal Rebellion","GB","today+5-y","web",0
2021-04-04,1,"Animal Rebellion","GB","today+5-y","web",0
2021-04-11,0,"Animal Rebellion","GB","today+5-y","web",0
2021-04-18,0,"Animal Rebellion","GB","today+5-y","web",0
2021-04-25,0,"Animal Rebellion","GB","today+5-y","web",0
2021-05-02,0,"Animal Rebellion","GB","today+5-y","web",0
2021-05-09,0,"Animal Rebellion","GB","today+5-y","web",0
2021-05-16,1,"Animal Rebellion","GB","today+5-y","web",0
2021-05-23,1,"Animal Rebellion","GB","today+5-y","web",0
2021-05-30,0,"Animal Rebellion","GB","today+5-y","web",0
2021-06-06,0,"Animal Rebellion","GB","today+5-y","web",0
2021-06-13,1,"Animal Rebellion","GB","today+5-y","web",0
2021-06-20,0,"Animal Rebellion","GB","today+5-y","web",0
2021-06-27,0,"Animal Rebellion","GB","today+5-y","web",0
2021-07-04,1,"Animal Rebellion","GB","today+5-y","web",0
2021-07-11,1,"Animal Rebellion","GB","today+5-y","web",0
2021-07-18,1,"Animal Rebellion","GB","today+5-y","web",0
2021-07-25,1,"Animal Rebellion","GB","today+5-y","web",0
2021-08-01,1,"Animal Rebellion","GB","today+5-y","web",0
2021-08-08,1,"Animal Rebellion","GB","today+5-y","web",0
2021-08-15,1,"Animal Rebellion","GB","today+5-y","web",0
2021-08-22,1,"Animal Rebellion","GB","today+5-y","web",0
2021-08-29,0,"Animal Rebellion","GB","today+5-y","web",0
2021-09-05,1,"Animal Rebellion","GB","today+5-y","web",0
2021-09-12,0,"Animal Rebellion","GB","today+5-y","web",0
2021-09-19,0,"Animal Rebellion","GB","today+5-y","web",0
2021-09-26,1,"Animal Rebellion","GB","today+5-y","web",0
2021-10-03,0,"Animal Rebellion","GB","today+5-y","web",0
2021-10-10,0,"Animal Rebellion","GB","today+5-y","web",0
2021-10-17,1,"Animal Rebellion","GB","today+5-y","web",0
2021-10-24,1,"Animal Rebellion","GB","today+5-y","web",0
2021-10-31,0,"Animal Rebellion","GB","today+5-y","web",0
2021-11-07,1,"Animal Rebellion","GB","today+5-y","web",0
2021-11-14,0,"Animal Rebellion","GB","today+5-y","web",0
2021-11-21,1,"Animal Rebellion","GB","today+5-y","web",0
2021-11-28,1,"Animal Rebellion","GB","today+5-y","web",0
2021-12-05,1,"Animal Rebellion","GB","today+5-y","web",0
2021-12-12,0,"Animal Rebellion","GB","today+5-y","web",0
2021-12-19,0,"Animal Rebellion","GB","today+5-y","web",0
2021-12-26,1,"Animal Rebellion","GB","today+5-y","web",0
2022-01-02,0,"Animal Rebellion","GB","today+5-y","web",0
2022-01-09,0,"Animal Rebellion","GB","today+5-y","web",0
2022-01-16,0,"Animal Rebellion","GB","today+5-y","web",0
2022-01-23,1,"Animal Rebellion","GB","today+5-y","web",0
2022-01-30,0,"Animal Rebellion","GB","today+5-y","web",0
2022-02-06,1,"Animal Rebellion","GB","today+5-y","web",0
2022-02-13,0,"Animal Rebellion","GB","today+5-y","web",0
2022-02-20,1,"Animal Rebellion","GB","today+5-y","web",0
2022-02-27,1,"Animal Rebellion","GB","today+5-y","web",0
2022-03-06,1,"Animal Rebellion","GB","today+5-y","web",0
2022-03-13,0,"Animal Rebellion","GB","today+5-y","web",0
2022-03-20,1,"Animal Rebellion","GB","today+5-y","web",0
2022-03-27,1,"Animal Rebellion","GB","today+5-y","web",0
2022-04-03,0,"Animal Rebellion","GB","today+5-y","web",0
2022-04-10,1,"Animal Rebellion","GB","today+5-y","web",0
2022-04-17,1,"Animal Rebellion","GB","today+5-y","web",0
2022-04-24,1,"Animal Rebellion","GB","today+5-y","web",0
2022-05-01,1,"Animal Rebellion","GB","today+5-y","web",0
2022-05-08,1,"Animal Rebellion","GB","today+5-y","web",0
2022-05-15,1,"Animal Rebellion","GB","today+5-y","web",0
2022-05-22,1,"Animal Rebellion","GB","today+5-y","web",0
2022-05-29,1,"Animal Rebellion","GB","today+5-y","web",0
2022-06-05,1,"Animal Rebellion","GB","today+5-y","web",0
2022-06-12,1,"Animal Rebellion","GB","today+5-y","web",0
2022-06-19,0,"Animal Rebellion","GB","today+5-y","web",0
2022-06-26,0,"Animal Rebellion","GB","today+5-y","web",0
2022-07-03,1,"Animal Rebellion","GB","today+5-y","web",0
2022-07-10,0,"Animal Rebellion","GB","today+5-y","web",0
2022-07-17,0,"Animal Rebellion","GB","today+5-y","web",0
2022-07-24,1,"Animal Rebellion","GB","today+5-y","web",0
2022-07-31,1,"Animal Rebellion","GB","today+5-y","web",0
2022-08-07,0,"Animal Rebellion","GB","today+5-y","web",0
2022-08-14,1,"Animal Rebellion","GB","today+5-y","web",0
2022-08-21,1,"Animal Rebellion","GB","today+5-y","web",0
2022-08-28,1,"Animal Rebellion","GB","today+5-y","web",0
2022-09-04,5,"Animal Rebellion","GB","today+5-y","web",0
2022-09-11,1,"Animal Rebellion","GB","today+5-y","web",0
2022-09-18,1,"Animal Rebellion","GB","today+5-y","web",0
2022-09-25,1,"Animal Rebellion","GB","today+5-y","web",0
2022-10-02,1,"Animal Rebellion","GB","today+5-y","web",0
2022-10-09,1,"Animal Rebellion","GB","today+5-y","web",0
2022-10-16,3,"Animal Rebellion","GB","today+5-y","web",0
2022-10-23,0,"Animal Rebellion","GB","today+5-y","web",0
2022-10-30,1,"Animal Rebellion","GB","today+5-y","web",0
2022-11-06,0,"Animal Rebellion","GB","today+5-y","web",0
2017-11-12,1,"Friends of the Earth","GB","today+5-y","web",0
2017-11-19,1,"Friends of the Earth","GB","today+5-y","web",0
2017-11-26,1,"Friends of the Earth","GB","today+5-y","web",0
2017-12-03,1,"Friends of the Earth","GB","today+5-y","web",0
2017-12-10,1,"Friends of the Earth","GB","today+5-y","web",0
2017-12-17,1,"Friends of the Earth","GB","today+5-y","web",0
2017-12-24,1,"Friends of the Earth","GB","today+5-y","web",0
2017-12-31,1,"Friends of the Earth","GB","today+5-y","web",0
2018-01-07,1,"Friends of the Earth","GB","today+5-y","web",0
2018-01-14,1,"Friends of the Earth","GB","today+5-y","web",0
2018-01-21,1,"Friends of the Earth","GB","today+5-y","web",0
2018-01-28,1,"Friends of the Earth","GB","today+5-y","web",0
2018-02-04,1,"Friends of the Earth","GB","today+5-y","web",0
2018-02-11,1,"Friends of the Earth","GB","today+5-y","web",0
2018-02-18,1,"Friends of the Earth","GB","today+5-y","web",0
2018-02-25,1,"Friends of the Earth","GB","today+5-y","web",0
2018-03-04,2,"Friends of the Earth","GB","today+5-y","web",0
2018-03-11,1,"Friends of the Earth","GB","today+5-y","web",0
2018-03-18,1,"Friends of the Earth","GB","today+5-y","web",0
2018-03-25,1,"Friends of the Earth","GB","today+5-y","web",0
2018-04-01,1,"Friends of the Earth","GB","today+5-y","web",0
2018-04-08,1,"Friends of the Earth","GB","today+5-y","web",0
2018-04-15,1,"Friends of the Earth","GB","today+5-y","web",0
2018-04-22,1,"Friends of the Earth","GB","today+5-y","web",0
2018-04-29,1,"Friends of the Earth","GB","today+5-y","web",0
2018-05-06,1,"Friends of the Earth","GB","today+5-y","web",0
2018-05-13,1,"Friends of the Earth","GB","today+5-y","web",0
2018-05-20,1,"Friends of the Earth","GB","today+5-y","web",0
2018-05-27,1,"Friends of the Earth","GB","today+5-y","web",0
2018-06-03,1,"Friends of the Earth","GB","today+5-y","web",0
2018-06-10,1,"Friends of the Earth","GB","today+5-y","web",0
2018-06-17,1,"Friends of the Earth","GB","today+5-y","web",0
2018-06-24,1,"Friends of the Earth","GB","today+5-y","web",0
2018-07-01,1,"Friends of the Earth","GB","today+5-y","web",0
2018-07-08,1,"Friends of the Earth","GB","today+5-y","web",0
2018-07-15,1,"Friends of the Earth","GB","today+5-y","web",0
2018-07-22,1,"Friends of the Earth","GB","today+5-y","web",0
2018-07-29,1,"Friends of the Earth","GB","today+5-y","web",0
2018-08-05,1,"Friends of the Earth","GB","today+5-y","web",0
2018-08-12,1,"Friends of the Earth","GB","today+5-y","web",0
2018-08-19,1,"Friends of the Earth","GB","today+5-y","web",0
2018-08-26,0,"Friends of the Earth","GB","today+5-y","web",0
2018-09-02,1,"Friends of the Earth","GB","today+5-y","web",0
2018-09-09,1,"Friends of the Earth","GB","today+5-y","web",0
2018-09-16,1,"Friends of the Earth","GB","today+5-y","web",0
2018-09-23,1,"Friends of the Earth","GB","today+5-y","web",0
2018-09-30,1,"Friends of the Earth","GB","today+5-y","web",0
2018-10-07,2,"Friends of the Earth","GB","today+5-y","web",0
2018-10-14,2,"Friends of the Earth","GB","today+5-y","web",0
2018-10-21,1,"Friends of the Earth","GB","today+5-y","web",0
2018-10-28,1,"Friends of the Earth","GB","today+5-y","web",0
2018-11-04,1,"Friends of the Earth","GB","today+5-y","web",0
2018-11-11,1,"Friends of the Earth","GB","today+5-y","web",0
2018-11-18,1,"Friends of the Earth","GB","today+5-y","web",0
2018-11-25,2,"Friends of the Earth","GB","today+5-y","web",0
2018-12-02,1,"Friends of the Earth","GB","today+5-y","web",0
2018-12-09,1,"Friends of the Earth","GB","today+5-y","web",0
2018-12-16,1,"Friends of the Earth","GB","today+5-y","web",0
2018-12-23,1,"Friends of the Earth","GB","today+5-y","web",0
2018-12-30,1,"Friends of the Earth","GB","today+5-y","web",0
2019-01-06,1,"Friends of the Earth","GB","today+5-y","web",0
2019-01-13,1,"Friends of the Earth","GB","today+5-y","web",0
2019-01-20,1,"Friends of the Earth","GB","today+5-y","web",0
2019-01-27,1,"Friends of the Earth","GB","today+5-y","web",0
2019-02-03,1,"Friends of the Earth","GB","today+5-y","web",0
2019-02-10,1,"Friends of the Earth","GB","today+5-y","web",0
2019-02-17,2,"Friends of the Earth","GB","today+5-y","web",0
2019-02-24,1,"Friends of the Earth","GB","today+5-y","web",0
2019-03-03,1,"Friends of the Earth","GB","today+5-y","web",0
2019-03-10,1,"Friends of the Earth","GB","today+5-y","web",0
2019-03-17,2,"Friends of the Earth","GB","today+5-y","web",0
2019-03-24,1,"Friends of the Earth","GB","today+5-y","web",0
2019-03-31,1,"Friends of the Earth","GB","today+5-y","web",0
2019-04-07,1,"Friends of the Earth","GB","today+5-y","web",0
2019-04-14,2,"Friends of the Earth","GB","today+5-y","web",0
2019-04-21,2,"Friends of the Earth","GB","today+5-y","web",0
2019-04-28,1,"Friends of the Earth","GB","today+5-y","web",0
2019-05-05,1,"Friends of the Earth","GB","today+5-y","web",0
2019-05-12,1,"Friends of the Earth","GB","today+5-y","web",0
2019-05-19,1,"Friends of the Earth","GB","today+5-y","web",0
2019-05-26,1,"Friends of the Earth","GB","today+5-y","web",0
2019-06-02,1,"Friends of the Earth","GB","today+5-y","web",0
2019-06-09,1,"Friends of the Earth","GB","today+5-y","web",0
2019-06-16,2,"Friends of the Earth","GB","today+5-y","web",0
2019-06-23,1,"Friends of the Earth","GB","today+5-y","web",0
2019-06-30,1,"Friends of the Earth","GB","today+5-y","web",0
2019-07-07,2,"Friends of the Earth","GB","today+5-y","web",0
2019-07-14,1,"Friends of the Earth","GB","today+5-y","web",0
2019-07-21,1,"Friends of the Earth","GB","today+5-y","web",0
2019-07-28,1,"Friends of the Earth","GB","today+5-y","web",0
2019-08-04,1,"Friends of the Earth","GB","today+5-y","web",0
2019-08-11,1,"Friends of the Earth","GB","today+5-y","web",0
2019-08-18,1,"Friends of the Earth","GB","today+5-y","web",0
2019-08-25,1,"Friends of the Earth","GB","today+5-y","web",0
2019-09-01,1,"Friends of the Earth","GB","today+5-y","web",0
2019-09-08,1,"Friends of the Earth","GB","today+5-y","web",0
2019-09-15,2,"Friends of the Earth","GB","today+5-y","web",0
2019-09-22,1,"Friends of the Earth","GB","today+5-y","web",0
2019-09-29,2,"Friends of the Earth","GB","today+5-y","web",0
2019-10-06,1,"Friends of the Earth","GB","today+5-y","web",0
2019-10-13,2,"Friends of the Earth","GB","today+5-y","web",0
2019-10-20,1,"Friends of the Earth","GB","today+5-y","web",0
2019-10-27,1,"Friends of the Earth","GB","today+5-y","web",0
2019-11-03,1,"Friends of the Earth","GB","today+5-y","web",0
2019-11-10,1,"Friends of the Earth","GB","today+5-y","web",0
2019-11-17,1,"Friends of the Earth","GB","today+5-y","web",0
2019-11-24,2,"Friends of the Earth","GB","today+5-y","web",0
2019-12-01,2,"Friends of the Earth","GB","today+5-y","web",0
2019-12-08,2,"Friends of the Earth","GB","today+5-y","web",0
2019-12-15,1,"Friends of the Earth","GB","today+5-y","web",0
2019-12-22,1,"Friends of the Earth","GB","today+5-y","web",0
2019-12-29,1,"Friends of the Earth","GB","today+5-y","web",0
2020-01-05,2,"Friends of the Earth","GB","today+5-y","web",0
2020-01-12,1,"Friends of the Earth","GB","today+5-y","web",0
2020-01-19,1,"Friends of the Earth","GB","today+5-y","web",0
2020-01-26,1,"Friends of the Earth","GB","today+5-y","web",0
2020-02-02,1,"Friends of the Earth","GB","today+5-y","web",0
2020-02-09,2,"Friends of the Earth","GB","today+5-y","web",0
2020-02-16,1,"Friends of the Earth","GB","today+5-y","web",0
2020-02-23,1,"Friends of the Earth","GB","today+5-y","web",0
2020-03-01,1,"Friends of the Earth","GB","today+5-y","web",0
2020-03-08,1,"Friends of the Earth","GB","today+5-y","web",0
2020-03-15,1,"Friends of the Earth","GB","today+5-y","web",0
2020-03-22,1,"Friends of the Earth","GB","today+5-y","web",0
2020-03-29,1,"Friends of the Earth","GB","today+5-y","web",0
2020-04-05,1,"Friends of the Earth","GB","today+5-y","web",0
2020-04-12,1,"Friends of the Earth","GB","today+5-y","web",0
2020-04-19,1,"Friends of the Earth","GB","today+5-y","web",0
2020-04-26,1,"Friends of the Earth","GB","today+5-y","web",0
2020-05-03,1,"Friends of the Earth","GB","today+5-y","web",0
2020-05-10,1,"Friends of the Earth","GB","today+5-y","web",0
2020-05-17,1,"Friends of the Earth","GB","today+5-y","web",0
2020-05-24,1,"Friends of the Earth","GB","today+5-y","web",0
2020-05-31,1,"Friends of the Earth","GB","today+5-y","web",0
2020-06-07,1,"Friends of the Earth","GB","today+5-y","web",0
2020-06-14,1,"Friends of the Earth","GB","today+5-y","web",0
2020-06-21,1,"Friends of the Earth","GB","today+5-y","web",0
2020-06-28,1,"Friends of the Earth","GB","today+5-y","web",0
2020-07-05,1,"Friends of the Earth","GB","today+5-y","web",0
2020-07-12,1,"Friends of the Earth","GB","today+5-y","web",0
2020-07-19,1,"Friends of the Earth","GB","today+5-y","web",0
2020-07-26,1,"Friends of the Earth","GB","today+5-y","web",0
2020-08-02,1,"Friends of the Earth","GB","today+5-y","web",0
2020-08-09,1,"Friends of the Earth","GB","today+5-y","web",0
2020-08-16,1,"Friends of the Earth","GB","today+5-y","web",0
2020-08-23,1,"Friends of the Earth","GB","today+5-y","web",0
2020-08-30,1,"Friends of the Earth","GB","today+5-y","web",0
2020-09-06,1,"Friends of the Earth","GB","today+5-y","web",0
2020-09-13,1,"Friends of the Earth","GB","today+5-y","web",0
2020-09-20,1,"Friends of the Earth","GB","today+5-y","web",0
2020-09-27,1,"Friends of the Earth","GB","today+5-y","web",0
2020-10-04,1,"Friends of the Earth","GB","today+5-y","web",0
2020-10-11,1,"Friends of the Earth","GB","today+5-y","web",0
2020-10-18,1,"Friends of the Earth","GB","today+5-y","web",0
2020-10-25,1,"Friends of the Earth","GB","today+5-y","web",0
2020-11-01,1,"Friends of the Earth","GB","today+5-y","web",0
2020-11-08,1,"Friends of the Earth","GB","today+5-y","web",0
2020-11-15,1,"Friends of the Earth","GB","today+5-y","web",0
2020-11-22,1,"Friends of the Earth","GB","today+5-y","web",0
2020-11-29,1,"Friends of the Earth","GB","today+5-y","web",0
2020-12-06,1,"Friends of the Earth","GB","today+5-y","web",0
2020-12-13,1,"Friends of the Earth","GB","today+5-y","web",0
2020-12-20,1,"Friends of the Earth","GB","today+5-y","web",0
2020-12-27,1,"Friends of the Earth","GB","today+5-y","web",0
2021-01-03,1,"Friends of the Earth","GB","today+5-y","web",0
2021-01-10,1,"Friends of the Earth","GB","today+5-y","web",0
2021-01-17,1,"Friends of the Earth","GB","today+5-y","web",0
2021-01-24,1,"Friends of the Earth","GB","today+5-y","web",0
2021-01-31,1,"Friends of the Earth","GB","today+5-y","web",0
2021-02-07,1,"Friends of the Earth","GB","today+5-y","web",0
2021-02-14,1,"Friends of the Earth","GB","today+5-y","web",0
2021-02-21,1,"Friends of the Earth","GB","today+5-y","web",0
2021-02-28,1,"Friends of the Earth","GB","today+5-y","web",0
2021-03-07,1,"Friends of the Earth","GB","today+5-y","web",0
2021-03-14,1,"Friends of the Earth","GB","today+5-y","web",0
2021-03-21,1,"Friends of the Earth","GB","today+5-y","web",0
2021-03-28,1,"Friends of the Earth","GB","today+5-y","web",0
2021-04-04,1,"Friends of the Earth","GB","today+5-y","web",0
2021-04-11,1,"Friends of the Earth","GB","today+5-y","web",0
2021-04-18,1,"Friends of the Earth","GB","today+5-y","web",0
2021-04-25,1,"Friends of the Earth","GB","today+5-y","web",0
2021-05-02,1,"Friends of the Earth","GB","today+5-y","web",0
2021-05-09,1,"Friends of the Earth","GB","today+5-y","web",0
2021-05-16,1,"Friends of the Earth","GB","today+5-y","web",0
2021-05-23,1,"Friends of the Earth","GB","today+5-y","web",0
2021-05-30,1,"Friends of the Earth","GB","today+5-y","web",0
2021-06-06,1,"Friends of the Earth","GB","today+5-y","web",0
2021-06-13,1,"Friends of the Earth","GB","today+5-y","web",0
2021-06-20,1,"Friends of the Earth","GB","today+5-y","web",0
2021-06-27,1,"Friends of the Earth","GB","today+5-y","web",0
2021-07-04,1,"Friends of the Earth","GB","today+5-y","web",0
2021-07-11,1,"Friends of the Earth","GB","today+5-y","web",0
2021-07-18,1,"Friends of the Earth","GB","today+5-y","web",0
2021-07-25,0,"Friends of the Earth","GB","today+5-y","web",0
2021-08-01,1,"Friends of the Earth","GB","today+5-y","web",0
2021-08-08,1,"Friends of the Earth","GB","today+5-y","web",0
2021-08-15,1,"Friends of the Earth","GB","today+5-y","web",0
2021-08-22,1,"Friends of the Earth","GB","today+5-y","web",0
2021-08-29,1,"Friends of the Earth","GB","today+5-y","web",0
2021-09-05,1,"Friends of the Earth","GB","today+5-y","web",0
2021-09-12,1,"Friends of the Earth","GB","today+5-y","web",0
2021-09-19,1,"Friends of the Earth","GB","today+5-y","web",0
2021-09-26,1,"Friends of the Earth","GB","today+5-y","web",0
2021-10-03,1,"Friends of the Earth","GB","today+5-y","web",0
2021-10-10,1,"Friends of the Earth","GB","today+5-y","web",0
2021-10-17,1,"Friends of the Earth","GB","today+5-y","web",0
2021-10-24,1,"Friends of the Earth","GB","today+5-y","web",0
2021-10-31,1,"Friends of the Earth","GB","today+5-y","web",0
2021-11-07,1,"Friends of the Earth","GB","today+5-y","web",0
2021-11-14,1,"Friends of the Earth","GB","today+5-y","web",0
2021-11-21,1,"Friends of the Earth","GB","today+5-y","web",0
2021-11-28,1,"Friends of the Earth","GB","today+5-y","web",0
2021-12-05,1,"Friends of the Earth","GB","today+5-y","web",0
2021-12-12,1,"Friends of the Earth","GB","today+5-y","web",0
2021-12-19,1,"Friends of the Earth","GB","today+5-y","web",0
2021-12-26,1,"Friends of the Earth","GB","today+5-y","web",0
2022-01-02,1,"Friends of the Earth","GB","today+5-y","web",0
2022-01-09,1,"Friends of the Earth","GB","today+5-y","web",0
2022-01-16,1,"Friends of the Earth","GB","today+5-y","web",0
2022-01-23,2,"Friends of the Earth","GB","today+5-y","web",0
2022-01-30,1,"Friends of the Earth","GB","today+5-y","web",0
2022-02-06,1,"Friends of the Earth","GB","today+5-y","web",0
2022-02-13,1,"Friends of the Earth","GB","today+5-y","web",0
2022-02-20,1,"Friends of the Earth","GB","today+5-y","web",0
2022-02-27,1,"Friends of the Earth","GB","today+5-y","web",0
2022-03-06,1,"Friends of the Earth","GB","today+5-y","web",0
2022-03-13,1,"Friends of the Earth","GB","today+5-y","web",0
2022-03-20,1,"Friends of the Earth","GB","today+5-y","web",0
2022-03-27,1,"Friends of the Earth","GB","today+5-y","web",0
2022-04-03,1,"Friends of the Earth","GB","today+5-y","web",0
2022-04-10,1,"Friends of the Earth","GB","today+5-y","web",0
2022-04-17,1,"Friends of the Earth","GB","today+5-y","web",0
2022-04-24,1,"Friends of the Earth","GB","today+5-y","web",0
2022-05-01,1,"Friends of the Earth","GB","today+5-y","web",0
